;Unnamed: 0;X0;Y0;VX0;VY0;ACCX0;ACCY0;MIDDLE_LANE_COORDS;X1;Y1;X1_real;Y1_real
0;0;0;0;13.966904314634585;0;0;0;[0, 0];20.0;0;20.034804004243558;-2.4267354577433844
1;1;1;0;13.966904314634585;0;0;0;[0.5586761725853833, 0];20.602156925240195;0;19.300063294992533;-0.3015221477840832
2;2;1;0;13.966904314634585;0;0;0;[1.1173523451707665, 0];21.20431385048039;0;20.465776133817208;0.8572072587943392
3;3;1;0;13.966904314634585;0;0;0;[1.6760285177561498, 0];21.80647077572058;0;20.835019959160967;-0.30754425443582867
4;4;1;0;13.966904314634585;0;0;0;[2.234704690341533, 0];22.40862770096077;0;22.283936710262417;1.3093880028904403
5;5;1;0;13.966904314634585;0;0;0;[2.7933808629269166, 0];23.01078462620097;0;21.750830000170694;0.1426732513111119
6;6;1;0;13.966904314634585;0;0;0;[3.3520570355123, 0];23.612941551441164;0;23.043781312707395;-0.05420801797217031
7;7;1;0;13.966904314634585;0;0;0;[3.9107332080976835, 0];24.215098476681355;0;24.306401222199668;2.3609997072552376
8;8;1;0;13.966904314634585;0;0;0;[4.469409380683067, 0];24.81725540192155;0;24.45709722269301;-0.5969130769049897
9;9;1;0;13.966904314634585;0;0;0;[5.0280855532684505, 0];25.419412327161744;0;24.13085411575194;-0.9994596250237094
10;10;1;0;13.966904314634585;0;0;0;[5.586761725853834, 0];26.02156925240194;0;25.329226968740176;-2.035183876922736
11;11;1;0;13.966904314634585;0;0;0;[6.1454378984392175, 0];26.623726177642133;0;26.645589475090294;1.2536141926092281
12;12;1;0;13.966904314634585;0;0;0;[6.704114071024601, 0];27.225883102882328;0;28.37403241505253;-0.014115552151868679
13;13;1;0;13.966904314634585;0;0;0;[7.2627902436099845, 0];27.82804002812252;0;28.148021155183766;1.1488707483682314
14;14;1;0;13.966904314634585;0;0;0;[7.821466416195368, 0];28.430196953362717;0;29.051019383628617;0.3340318179613837
15;15;1;0;13.966904314634585;0;0;0;[8.380142588780751, 0];29.032353878602905;0;29.176092477482424;2.560036729628496
16;16;1;0;13.966904314634585;0;0;0;[8.938818761366134, 0];29.6345108038431;0;29.59934635769685;0.3605966742720107
17;17;1;0;13.966904314634585;0;0;0;[9.497494933951517, 0];30.23666772908329;0;30.028569643400953;0.6146651553886762
