;Unnamed: 0;X0;Y0;VX0;VY0;ACCX0;ACCY0;MIDDLE_LANE_COORDS;X1;Y1;X1_real;Y1_real
0;0;0;0;11.93145625738454;0;0;0;[0, 0];20.0;0;21.027024473536322;0.597034318355063
1;1;1;0;11.93145625738454;0;0;0;[0.47725825029538166, 0];20.54120048978395;0;18.99048969224974;-1.277368481582396
2;2;1;0;11.93145625738454;0;0;0;[0.9545165005907633, 0];21.0824009795679;0;20.605610476542484;1.2236327205912525
3;3;1;0;11.93145625738454;0;0;0;[1.431774750886145, 0];21.623601469351847;0;22.011286854004727;0.9840433321162119
4;4;1;0;11.93145625738454;0;0;0;[1.9090330011815266, 0];22.1648019591358;0;23.145744655026117;0.1225740540606566
5;5;1;0;11.93145625738454;0;0;0;[2.386291251476908, 0];22.706002448919747;0;22.056819083476398;1.1968275999282638
6;6;1;0;11.93145625738454;0;0;0;[2.86354950177229, 0];23.24720293870369;0;23.4503482830979;-0.34158865603043315
7;7;1;0;11.93145625738454;0;0;0;[3.3408077520676716, 0];23.788403428487644;0;24.649740913780985;-0.6405214653593829
8;8;1;0;11.93145625738454;0;0;0;[3.8180660023630533, 0];24.329603918271594;0;25.257539826367623;0.7638618472745642
9;9;1;0;11.93145625738454;0;0;0;[4.2953242526584345, 0];24.870804408055545;0;25.187411405965577;1.5436466399907902
10;10;1;0;11.93145625738454;0;0;0;[4.772582502953816, 0];25.41200489783949;0;25.771628331991554;-1.0006358926171557
11;11;1;0;11.93145625738454;0;0;0;[5.249840753249198, 0];25.95320538762344;0;26.008865320574888;0.11384994031377768
12;12;1;0;11.93145625738454;0;0;0;[5.72709900354458, 0];26.49440587740739;0;29.154874076933517;-1.074170377823915
13;13;1;0;11.93145625738454;0;0;0;[6.204357253839961, 0];27.035606367191345;0;26.679636853980096;-1.5411993621023818
14;14;1;0;11.93145625738454;0;0;0;[6.681615504135343, 0];27.57680685697529;0;26.76274979234764;-0.7750323017236278
15;15;1;0;11.93145625738454;0;0;0;[7.158873754430725, 0];28.11800734675924;0;29.378996444345585;-0.9824083596420673
16;16;1;0;11.93145625738454;0;0;0;[7.6361320047261065, 0];28.65920783654319;0;29.360161604096984;1.0209514518522336
17;17;1;0;11.93145625738454;0;0;0;[8.113390255021487, 0];29.20040832632714;0;30.802755907094287;0.7557222207197191
18;18;1;0;11.93145625738454;0;0;0;[8.590648505316869, 0];29.74160881611109;0;28.05498833391166;1.0524105938702872
19;19;1;0;11.93145625738454;0;0;0;[9.06790675561225, 0];30.28280930589504;0;29.928853097275578;0.2535608917524327
20;20;1;0;11.93145625738454;0;0;0;[9.545165005907633, 0];30.824009795678982;0;31.029349662520207;-0.3112972206947112
21;21;1;0;11.93145625738454;0;0;0;[10.022423256203014, 0];31.365210285462936;0;31.24787479595662;1.7932996292905248
22;22;1;0;11.93145625738454;0;0;0;[10.499681506498396, 0];31.906410775246883;0;31.992538198807033;-1.21392625293636
23;23;1;0;11.93145625738454;0;0;0;[10.976939756793778, 0];32.44761126503083;0;28.958080579997606;2.0946898159849336
24;24;1;0;11.93145625738454;0;0;0;[11.45419800708916, 0];32.98881175481478;0;32.49207725353805;-0.009047026892470425
25;25;1;0;11.93145625738454;0;0;0;[11.931456257384541, 0];33.53001224459874;0;33.51548822069806;0.6447563358686422
